model_name,HitRate@10,runtime_seconds,HitRate10_per_sec
session_knn_sequence,0.17148606811145511,2540.7865829467773,6.749329883211498e-05
session_knn_unordered,0.17457430340557276,2661.0787739753723,6.560283187136812e-05
markov,0.14445046439628484,2982.6109941005707,4.8430876397223566e-05
weighted_markov,0.16052631578947368,8687.346894741058,1.8478174951969438e-05
cooccurrence,0.14017801857585138,27954.210025310516,5.014558395638092e-06
popularity,0.005634674922600619,3939.1190481185913,1.4304403735377996e-06
