model_name,family,HitRate@10,Recall@20,MRR@20,NDCG@20,runtime_seconds
session_knn_unordered,unordered,0.17457430340557276,0.216687306501548,0.08699490474733486,0.11608317388320864,2661.0787739753723
session_knn_sequence,sequence_aware,0.17148606811145511,0.21263931888544893,0.08596579743407927,0.11438830045587459,2540.7865829467773
weighted_markov,sequence_aware,0.16052631578947368,0.1881501547987616,0.08525466927644654,0.10865219288088149,8687.346894741058
markov,sequence_aware,0.14445046439628484,0.16146284829721363,0.07954972856963045,0.09845148764982685,2982.6109941005707
cooccurrence,unordered,0.14017801857585138,0.1805030959752322,0.06969708205051596,0.09438229529797101,27954.210025310516
popularity,unordered,0.005634674922600619,0.00803405572755418,0.0012405626236575086,0.002717756438940885,3939.1190481185913
