model_name,bucket,HitRate@10,Recall@20,MRR@20,NDCG@20
cooccurrence,session_long_7_plus,0.08815747698169119,0.12282781246692771,0.03989017311978905,0.0580874127893819
cooccurrence,session_medium_4_6,0.1442093015942895,0.18952234206471494,0.06861647681130814,0.09547093637682678
cooccurrence,session_short_2_3,0.18662519440124417,0.2291143278701599,0.09846032605187659,0.12788175394871873
markov,session_long_7_plus,0.09150174621653084,0.10468832680706953,0.04736933126922059,0.060477000093715524
markov,session_medium_4_6,0.14188233074431622,0.1599320776076224,0.07537206093761795,0.09481550551165702
markov,session_short_2_3,0.19595645412130638,0.21591498185588387,0.11251254068478564,0.13652885999429426
popularity,session_long_7_plus,0.005926553074399407,0.00789501534553921,0.0013178464701190417,0.0027587600519366163
popularity,session_medium_4_6,0.00512562498034653,0.007452595830319801,0.0011078664305841964,0.0024852636310084895
popularity,session_short_2_3,0.0056824979064481395,0.008533716154244926,0.0012518996318692018,0.002826547125408061
session_knn_sequence,session_long_7_plus,0.11677426182664832,0.15641866864218437,0.0524436703813074,0.07540031125142196
session_knn_sequence,session_medium_4_6,0.175025942580422,0.22112512185151412,0.08442804129564034,0.11497793519318006
session_knn_sequence,session_short_2_3,0.2207799976073693,0.26021852693703396,0.1185186362020081,0.1507410654533486
session_knn_unordered,session_long_7_plus,0.10477299185098952,0.14426923483966558,0.04678928847412612,0.06821717085120285
session_knn_unordered,session_medium_4_6,0.1832017861073551,0.2312505896041005,0.0861713729567801,0.11861495171712212
session_knn_unordered,session_short_2_3,0.23485664154404434,0.2756709335247438,0.12539071515725586,0.15956756687979579
weighted_markov,session_long_7_plus,0.11287966980632871,0.14452322997142555,0.05453723316692746,0.07456079107056564
weighted_markov,session_medium_4_6,0.16694443570956888,0.1973837300713814,0.08487624584835467,0.11038103000613977
weighted_markov,session_short_2_3,0.20133987319057303,0.2233919527854209,0.11443039827973597,0.13967004846783435
