metric,unordered_mean,sequence_aware_mean,absolute_gain,relative_gain_pct
HitRate@10,0.10679566563467492,0.15882094943240455,0.052025283797729624,48.71478958303136
Recall@20,0.1350748194014448,0.18741744066047472,0.052342621259029914,38.75083564129499
MRR@20,0.05264418314050278,0.08359006509338542,0.030945881952882635,58.783098353508024
NDCG@20,0.07106107520670685,0.10716399366219431,0.036102918455487465,50.80547733125212
